"","Candidate","Constituency_No","Party","pid","Votes","Margin","Margin_PC"
"96","N.Y. GOPALAKRISHNA",96,"BJP","AEKE46",50085,10813,7.11026065914411
"97","B. SREERAMULU",97,"BJP","AEKE147",84018,42045,21.8360001869654
"98","T RAGHUMURTHY",98,"INC","AEKE1817",72874,13539,8.0112426035503
"99","G H THIPPAREDDY",99,"BJP","AEKE1827",82896,32985,17.419385502593
"100","K POORNIMA",100,"BJP","AEKE18206",77733,12875,6.8198551807063
"101","GULIHATTI D SHEKAR",101,"BJP","GEKE18218",90562,25992,16.2606508764686
"102","M. CHANDRAPPA",102,"BJP","AEKE1872",107976,38940,20.6593593158113
"103","S.V.RAMACHANDRA",103,"BJP","AEKE155",78948,29221,19.69932922102
"104","G KARUNAKARA REDDY",104,"BJP","GEKE18256",67603,9647,5.72814611611861
"105","S RAMAPPA",105,"INC","AEKE1914",64801,7260,4.4019475283004
"106","S.A. RAVINDRANATH",106,"BJP","AEKE1929",76540,4071,2.58760416203195
"107","SHAMANUR SHIVASHANKARAPPA",107,"INC","AEKE1947",71369,15884,11.6731460319093
"108","N. LINGANNA.",108,"BJP","AEKE18296",50556,6458,4.16207472142199
"109","K MADALU VIRUPAKSHAPPA",109,"BJP","AEKE1983",73794,25780,16.3067542095209
"110","M P RENUKACHARYA",110,"BJP","AEKE1995",80624,4233,2.61510993593506
"111","K.B. ASHOK NAIK",111,"BJP","AEKE18321",69326,3777,2.19276856625331
"112","B.K.SANGAMESHWARA.",112,"INC","AEKE2020",75722,11567,7.56621336106805
"113","K.S. ESHWARAPPA",113,"BJP","AEKE2038",104027,46107,26.7513373637978
"114","ARAGA JNANENDRA",114,"BJP","AEKE2052",67527,21955,13.9912057099159
"115","B S YADIYURAPPA",115,"BJP","AEKE2060",86983,35397,22.8540252965141
"116","S.KUMARA BANGARAPPA",116,"BJP","AEKE435",72091,13286,8.50608858214784
"117","H HALAPPA HARATHALU",117,"BJP","AEKE18376",78475,8039,5.18832610491532
"118","B. M. SUKUMAR SHETTY",118,"BJP","AEKE2093",96029,24393,13.8027228591152
"119","HALADY SRINIVAS SHETTY",119,"BJP","AEKE2105",103434,56405,35.5544489548927
"120","K RAGHUPATHI BHAT",120,"BJP","AEKE4453",84946,12044,7.41602783165543
"121","LALAJI .R. MENDON",121,"BJP","AEKE2119",75893,11917,8.25002769162605
"122","V. SUNIL KUMAR",122,"BJP","AEKE2129",91245,42566,29.1677801761058
"123","T D RAJEGOWDA",123,"INC","AEKE2139",62780,1989,1.45126337986035
"124","M.P.KUMARASWAMY",124,"BJP","AEKE2148",58783,12512,9.52801596125436
"125","C T RAVI",125,"BJP","AEKE2154",70863,26314,16.330102148469
"126","D S SURESH",126,"BJP","AEKE2170",44940,11687,7.81253133502236
"127","K S PRAKASH",127,"BJP","AEKE2185",62232,15372,9.62627122889635
"128","J.C. MADHU SWAMY",128,"BJP","AEKE348",69612,10277,5.68849183286008
"129","B.C. NAGESH",129,"BJP","AEKE2203",61383,25563,16.8653634270408
"130","JAYARAM A S",130,"BJP","AEKE2213",60710,2049,1.33451435791558
"131","DR H.D. RANGANATH",131,"INC","AEKE18898",58697,5600,3.4584339469995
"132","G.B. JYOTHI GANESH",132,"BJP","AEKE2234",60421,5293,3.1158938253145
"133","D C GOWRISHANKAR",133,"JD(S)","AEKE2248",82740,5640,3.27275259383051
"134","DR. G. PARAMESHWARA",134,"INC","AEKE2263",81598,7619,4.447856342238
"135","S R SRINIVAS (VASU)",135,"JD(S)","AEKE18935",55572,9081,5.84287736456055
"136","B SATHYANARAYANA",136,"JD(S)","AEKE2290",74338,10365,5.74990014645187
"137","VENKATARAMANAPPA",137,"INC","AEKE4549",72974,409,0.251057325779106
"138","M.V. VEERABHADRAIAH",138,"JD(S)","AEKE2316",88521,18574,11.185113814284
"139","N.H.SHIVASHANKARA REDDY",139,"INC","AEKE2337",69000,9168,5.43546570225885
"140","S.N. SUBBAREDDY(CHINNAKAYALAPALLI)",140,"INC","AEKE2359",65710,14013,8.51709131576388
"141","DR. K. SUDHAKAR",141,"INC","AEKE2380",82006,30431,17.5428179423176
"142","V. MUNIYAPPA",142,"INC","GEKE18464",76240,9709,5.70037928159604
"143","J K KRISHNA REDDY",143,"JD(S)","AEKE2405",87753,5673,3.13851975613264
"144","K R RAMESH KUMAR",144,"INC","AEKE2420",93571,10552,5.71899321438637
"145","H.NAGESH",145,"IND","AEKE19445",74068,6799,4.14391242868984
"146","ROOPAKALA.M",146,"INC","AEKE19474",71151,40827,29.2521978376287
"147","S.N.NARAYANASWAMY K.M",147,"INC","AEKE2474",70871,21571,13.7522791895648
"148","K.SRINIVASA GOWDA",148,"JD(S)","AEKE2489",82788,44251,24.7071501155766
"149","K.Y. NANJEGOWDA",149,"INC","AEKE19513",75677,17915,11.1023661085014
"150","S.R.VISHWANATH",150,"BJP","AEKE2520",120110,42503,17.3386093377119
"151","B.A.BASAVARAJA",151,"INC","AEKE2536",105019,29545,15.3236137692096
"152","KRISHNA BYREGOWDA",152,"INC","GEKE17302",114964,5671,2.23523800889996
"153","S.T SOMASHEKHAR",153,"INC","AEKE2577",115273,10711,3.72939189777337
"154","R.MANJUNATHA",155,"JD(S)","AEKE17352",94044,10675,4.93561735672839
"155","K. GOPALAIAH",156,"JD(S)","AEKE2631",88218,41100,25.7067800850638
"156","DR. ASHWATH NARAYAN.C.N.",157,"BJP","AEKE2645",83130,54000,43.6663566894433
"157","SURESH B S",158,"INC","AEKE17385",74453,21140,14.4113436498739
"158","R. AKHANDA SRINIVASAMURTHY",159,"INC","AEKE2684",97574,81626,64.5611870412554
"159","K.J GEORGE",160,"INC","AEKE2697",109955,53304,29.9307657321257
"160","S. RAGHU",161,"BJP","AEKE2711",58887,12227,9.2622472710194
"161","R ROSHAN BAIG",162,"INC","AEKE2722",59742,15040,13.8574087382756
"162","N A HARIS",163,"INC","AEKE2741",60009,18205,14.9934112996211
"163","DINESH GUNDU RAO",164,"INC","AEKE2756",47354,10070,7.94007490636704
"164","S SURESH KUMAR",165,"BJP","AEKE2770",56271,9453,7.87146521000566
"165","V SOMANNA",166,"BJP","GEKE17492",79135,11375,7.2345784228301
"166","M. KRISHNAPPA",167,"INC","AEKE2804",73353,2775,1.77425129792077
"167","B.Z. ZAMEER AHMED KHAN",168,"INC","GEKE252",65339,33137,27.5661556123086
"168","UDAY B.GARUDACHAR",169,"BJP","AEKE2847",57312,7934,6.15420415761713
"169","RAVISUBRAMANYA.L.A",170,"BJP","AEKE2862",76018,38009,29.2280245764862
"170","R ASHOKA",171,"BJP","AEKE397",77868,32166,19.9037176377407
"171","RAMALINGA REDDY",172,"INC","AEKE2894",67085,20478,15.0648853838684
"172","ARAVIND LIMBAVALI",174,"BJP","AEKE2921",141682,17784,6.2542201215395
"173","SATHISH REDDY M",175,"BJP","AEKE2931",111863,47162,24.1225512761496
"174","M KRISHNAPPA",176,"BJP","GEKE2941",65600,28196,22.5175294286764
"175","B.SHIVANNA",177,"INC","TEKE2955",113894,8627,3.78913987798504
"176","N NAGARAJU (M.T.B)",178,"INC","AEKE2970",98824,7597,3.93482190489509
