"","Candidate","Constituency_No","Party","pid","Votes","Margin"
"135","S R SRINIVAS (VASU)",135,"JD(S)","AEKE18935",55572,9081
"136","B SATHYANARAYANA",136,"JD(S)","AEKE2290",74338,10365
"137","VENKATARAMANAPPA",137,"INC","AEKE4549",72974,409
"138","M.V. VEERABHADRAIAH",138,"JD(S)","AEKE2316",88521,18574
"139","N.H.SHIVASHANKARA REDDY",139,"INC","AEKE2337",69000,9168
"140","S.N. SUBBAREDDY(CHINNAKAYALAPALLI)",140,"INC","AEKE2359",65710,14013
"141","DR. K. SUDHAKAR",141,"INC","AEKE2380",82006,30431
"142","V. MUNIYAPPA",142,"INC","GEKE18464",76240,9709
"143","J K KRISHNA REDDY",143,"JD(S)","AEKE2405",87753,5673
"144","K R RAMESH KUMAR",144,"INC","AEKE2420",93571,10552
"145","H.NAGESH",145,"IND","AEKE19445",74068,6799
"146","ROOPAKALA.M",146,"INC","AEKE19474",71151,40827
"147","S.N.NARAYANASWAMY K.M",147,"INC","AEKE2474",70871,21571
"148","K.SRINIVASA GOWDA",148,"JD(S)","AEKE2489",82788,44251
"149","K.Y. NANJEGOWDA",149,"INC","AEKE19513",75677,17915
"150","S.R.VISHWANATH",150,"BJP","AEKE2520",120110,42503
"151","B.A.BASAVARAJA",151,"INC","AEKE2536",135404,32729
"152","KRISHNA BYREGOWDA",152,"INC","GEKE17302",114964,5671
"153","S.T SOMASHEKHAR",153,"INC","AEKE2577",115273,10711
"154","R.MANJUNATHA",155,"JD(S)","AEKE17352",94044,10675
"155","K. GOPALAIAH",156,"JD(S)","AEKE2631",88218,41100
"156","DR. ASHWATH NARAYAN.C.N.",157,"BJP","AEKE2645",83130,54000
"157","SURESH B S",158,"INC","AEKE17385",74453,21140
"158","R. AKHANDA SRINIVASAMURTHY",159,"INC","AEKE2684",97574,81626
"159","K.J GEORGE",160,"INC","AEKE2697",109955,53304
"160","S. RAGHU",161,"BJP","AEKE2711",58887,12227
"161","R ROSHAN BAIG",162,"INC","AEKE2722",59742,15040
"162","N A HARIS",163,"INC","AEKE2741",60009,18205
"163","DINESH GUNDU RAO",164,"INC","AEKE2756",47354,10070
"164","S SURESH KUMAR",165,"BJP","AEKE2770",56271,9453
"165","V SOMANNA",166,"BJP","GEKE17492",79135,11375
"166","M. KRISHNAPPA",167,"INC","AEKE2804",73353,2775
"167","B.Z. ZAMEER AHMED KHAN",168,"INC","GEKE252",65339,33137
"168","UDAY B.GARUDACHAR",169,"BJP","AEKE2847",57312,7934
"169","RAVISUBRAMANYA.L.A",170,"BJP","AEKE2862",76018,38009
"170","R ASHOKA",171,"BJP","AEKE397",77868,32166
"171","RAMALINGA REDDY",172,"INC","AEKE2894",67085,20478
"172","ARAVIND LIMBAVALI",174,"BJP","AEKE2921",141682,17784
"173","SATHISH REDDY M",175,"BJP","AEKE2931",111863,47162
"174","M KRISHNAPPA",176,"BJP","GEKE2941",83902,28331
"175","B.SHIVANNA",177,"INC","TEKE2955",113894,8627
"176","N NAGARAJU (M.T.B)",178,"INC","AEKE2970",98824,7597
"177","NARAYANASWAMY L N",179,"JD(S)","TEKE17682",86966,17010
"178","T VENKATARAMANAIAH",180,"INC","AEKE2986",73225,9945
"179","DR. K .SREENIVASAMURTHY",181,"JD(S)","AEKE2994",69277,24321
"180","A. MANJUNATH",182,"JD(S)","AEKE3011",119492,51425
"181","H.D.KUMARASWAMY",183,"JD(S)","GEKE3026",92626,22636
"182","D K SHIVAKUMAR",184,"INC","AEKE3038",127552,79909
"183","H D KUMARA SWAMY",185,"JD(S)","GEKE3026",87995,21530
"184","DR.K.ANNADANI",186,"JD(S)","AEKE3065",103038,26760
"185","D.C.THAMMANNA",187,"JD(S)","AEKE3078",109239,54030
"186","C S PUTTARAJU",188,"JD(S)","AEKE11",96003,22224
"187","M SRINIVAS",189,"JD(S)","AEKE421",69421,21608
"188","RAVINDRA SRIKANTAIAH",190,"JD(S)","AEKE3120",101307,43688
"189","SURESH GOWDAA",191,"JD(S)","AEKE3131",112396,47667
"190","NARAYANAGOWDA",192,"JD(S)","AEKE3142",88016,17119
"191","C N BALAKRISHNA",193,"JD(S)","AEKE3150",105516,53012
"192","K.M SHIVALINGE GOWDA",194,"JD(S)","AEKE3161",93986,43689
"193","LINGESHA. K.S.",195,"JD(S)","AEKE19102",64268,19690
"194","PREETHAM J GOWDA",196,"BJP","AEKE19108",63348,13006
"195","H D REVANNA",197,"JD(S)","AEKE3197",108541,43832
"196","A. T. RAMASWAMY",198,"JD(S)","AEKE3208",85064,10653
"197","H K KUMARASWAMY",199,"JD(S)","AEKE3220",62262,4942
"198","HARISH POONJA",200,"BJP","AEKE18533",98417,22974
"199","UMANATHA. A. KOTIAN",201,"BJP","AEKE3239",87444,29799
"200","DR.BHARATH SHETTY. Y",202,"BJP","AEKE18541",98648,26648
"201","D. VEDAVYASA KAMATH",203,"BJP","AEKE18546",86545,16075
"202","U.T.ABDUL KHADER",204,"INC","AEKE3266",80813,19739
"203","RAJESH NAIK U.",205,"BJP","AEKE3282",97802,15971
"204","SANJEEVA MATANDOOR",206,"BJP","AEKE3288",90073,19477
"205","ANGARA.S",207,"BJP","AEKE3293",95205,26068
"206","APPACHU RANJAN M P",208,"BJP","AEKE3302",70631,16015
"207","K G BOPAIAH",209,"BJP","AEKE3316",77944,13353
"208","K. MAHADEVA",210,"JD(S)","AEKE3326",77770,7493
"209","SA. RA. MAHESH",211,"JD(S)","AEKE3333",85011,1779
"210","ADAGURU H VISHWANATH",212,"JD(S)","AEKE19163",91667,8575
"211","ANIL KUMAR C",213,"INC","AEKE19177",76652,22093
"212","B. HARSHAVARDHAN",214,"BJP","AEKE19183",78030,12479
"213","G.T.DEVEGOWDA",215,"JD(S)","AEKE3374",121325,36042
"214","S A RAMADAS",216,"BJP","AEKE3387",78573,26347
