"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"175",175,"SATHISH REDDY M","BJP","AEKE2931",111863,"SATHISH REDDY.M","BJP","AEKRX223",86552
"176",176,"M KRISHNAPPA","BJP","GEKE2941",65600,"M. KRISHNAPPA","BJP","GEKRX191",102207
"177",177,"B.SHIVANNA","INC","TEKE2955",113894,"SHIVANNA B.","INC","AEKR11027",105464
"178",178,"N NAGARAJU (M.T.B)","INC","AEKE2970",98824,"M.T.B. NAGARAJ","INC","AEKR11020",85238
"179",179,"NARAYANASWAMY L N","JD(S)","TEKE17682",86966,"PILLA MUNISHAMAPPA","JD(S)","AEKR16550",70323
"180",180,"T VENKATARAMANAIAH","INC","AEKE2986",73225,"T.VENKATARAMANAIAH (APPAKARANAHALLI T.VENKATESH)","INC","AEKR16566",38877
"181",181,"DR. K .SREENIVASAMURTHY","JD(S)","AEKE2994",69277,"DR K SRINIVASAMURTHY","JD(S)","AEKR13768",60492
"182",182,"A. MANJUNATH","JD(S)","AEKE3011",119492,"H.C.BALAKRISHNA","JD(S)","AEKR9501",74821
"183",183,"H.D.KUMARASWAMY","JD(S)","GEKE3026",92626,"H D KUMARA SWAMY","JD(S)","GEKR5145",83447
"184",184,"D K SHIVAKUMAR","INC","AEKE3038",127552,"D.K. SHIVAKUMAR","INC","AEKR13811",100007
"185",185,"H D KUMARA SWAMY","JD(S)","GEKE3026",87995,"C P YOGESHWARA","SP","GEKR5148",80099
"186",186,"DR.K.ANNADANI","JD(S)","AEKE3065",103038,"P.M.NARENDRA SWAMY","INC","AEKR9547",61869
"187",187,"D.C.THAMMANNA","JD(S)","AEKE3078",109239,"D.C.THAMMANNA","JD(S)","AEKR9540",80926
"188",188,"C S PUTTARAJU","JD(S)","AEKE11",96003,"K.S.PUTTANNAIAH","SKP","AEKR13843",80041
"189",189,"M SRINIVAS","JD(S)","AEKE421",69421,"M.H. AMBAREESH","INC","GEKR65368",90329
"190",190,"RAVINDRA SRIKANTAIAH","JD(S)","AEKE3120",101307,"A.B. RAMESHA BANDISIDDEGOWDA","JD(S)","AEKR13862",55204
"191",191,"SURESH GOWDAA","JD(S)","AEKE3131",112396,"N.CHALUVARAYASWAMY (SWAMY GOWDA)","JD(S)","GEKR5048",89203
"192",192,"NARAYANAGOWDA","JD(S)","AEKE3142",88016,"NARAYANAGOWDA","JD(S)","AEKRX2X14",56784
"193",193,"C N BALAKRISHNA","JD(S)","AEKE3150",105516,"C.N.BALAKRISHNA","JD(S)","AEKR16733",87185
"194",194,"K.M SHIVALINGE GOWDA","JD(S)","AEKE3161",93986,"K.M.SHIVALINGE GOWDA","JD(S)","AEKR13898",76579
"195",195,"LINGESHA. K.S.","JD(S)","AEKE19102",64268,"Y.N RUDRESHA GOWDA","INC","AEKR13902",48802
"196",196,"PREETHAM J GOWDA","BJP","AEKE19108",63348,"H.S.PRAKASH","JD(S)","AEKR7937",61306
"197",197,"H D REVANNA","JD(S)","AEKE3197",108541,"H.D REVANNA","JD(S)","AEKR7923",92713
"198",198,"A. T. RAMASWAMY","JD(S)","AEKE3208",85064,"MANJU A","INC","AEKR5649",61369
"199",199,"H K KUMARASWAMY","JD(S)","AEKE3220",62262,"KUMARASWAMY H.K.","JD(S)","AEKR3460",63602
"200",200,"HARISH POONJA","BJP","AEKE18533",98417,"K. VASANTHA BANGERA","INC","AEKR2052",74530
"201",201,"UMANATHA. A. KOTIAN","BJP","AEKE3239",87444,"K ABHAYACHANDRA","INC","AEKR9781",53180
"202",202,"DR.BHARATH SHETTY. Y","BJP","AEKE18541",98648,"B.A.MOHIUDDIN BAVA","INC","AEKR13952",69897
"203",203,"D. VEDAVYASA KAMATH","BJP","AEKE18546",86545,"J.R.LOBO","INC","AEKR16835",67829
"204",204,"U.T.ABDUL KHADER","INC","AEKE3266",80813,"U T KHADER","INC","AEKR13962",69450
"205",205,"RAJESH NAIK U.","BJP","AEKE3282",97802,"B.RAMANATHA RAI","INC","AEKR13972",81665
"206",206,"SANJEEVA MATANDOOR","BJP","AEKE3288",90073,"SHAKUNTALA T SHETTY","INC","AEKR7980",66345
"207",207,"ANGARA.S","BJP","AEKE3293",95205,"ANGARA. S","BJP","AEKR5671",65913
"208",208,"APPACHU RANJAN M P","BJP","AEKE3302",70631,"APPACHU (RANJAN) M.P","BJP","AEKR16882",56696
"209",209,"K G BOPAIAH","BJP","AEKE3316",77944,"K.G.BOPAIAH","BJP","AEKR9680",67250
"210",210,"K. MAHADEVA","JD(S)","AEKE3326",77770,"K.VENKATESH","INC","AEKRX38",62045
"211",211,"SA. RA. MAHESH","JD(S)","AEKE3333",85011,"SA.RA.MAHESH","JD(S)","AEKR11203",81457
"212",212,"ADAGURU H VISHWANATH","JD(S)","AEKE19163",91667,"H.P.MANJUNATH","INC","AEKR14022",83930
"213",213,"ANIL KUMAR C","INC","AEKE19177",76652,"CHIKKAMADU S","JD(S)","AEKR16939",48606
"214",214,"B. HARSHAVARDHAN","BJP","AEKE19183",78030,"V.SRINIVASA PRASAD","INC","GEKR24196",50784
"215",215,"G.T.DEVEGOWDA","JD(S)","AEKE3374",121325,"G.T. DEVE GOWDA","JD(S)","AEKR16956",75864
"216",216,"S A RAMADAS","BJP","AEKE3387",78573,"M.K.SOMASHEKAR","INC","AEKR9605",52611
"217",217,"L. NAGENDRA","BJP","AEKE3407",51683,"VASU","INC","AEKR9611",41930
"218",218,"TANVEER SAIT","INC","AEKE302",62268,"TANVEER SAIT","INC","AEKRBP324",38037
"219",219,"YATHINDRA S","INC","AEKE19246",96435,"SIDDARAMAIAH","INC","AEKRX2X8",84385
"220",220,"ASHVIN KUMAR.M","JD(S)","AEKE19267",83929,"DR. H.C. MAHADEVAPPA","INC","GEKR44508",53219
"221",221,"R NARENDRA","INC","AEKE3483",60444,"R.NARENDRA","INC","AEKR11099",55684
"222",222,"N. MAHESH","BSP","TEKE19291",71792,"S. JAYANNA","INC","AEKR7688",47402
"223",223,"C PUTTARANGASHETTY","INC","AEKE3505",75963,"C.PUTTARANGASHETTY","INC","AEKR14147",54440
"224",224,"C S NIRANJAN KUMAR","BJP","AEKE19310",94151,"H.S. MAHADEVA PRASAD","INC","AEKR3404",73723
